,label,category,sim_bow,walks_bow,walks_skp,fingers_bow
10,cougar,animal,"[('cozze', 0.91), ('paracel', 0.9), ('oncifelis', 0.9), ('oatmeal', 0.9)]","[('stork', 0.74), ('smeared', 0.73), ('snuck', 0.72), ('hopped', 0.72)]","[('bikers', 0.73), ('backpacking', 0.72), ('backcountry', 0.72), ('bushes', 0.72)]","[('scallop', 0.76), ('teflon', 0.75), ('silty', 0.75), ('opal', 0.75)]"
11,gazelle,animal,"[('blankets', 0.77), ('spp', 0.77), ('ladders', 0.77), ('avenger', 0.76)]","[('slides', 0.7), ('ducts', 0.7), ('leaping', 0.69), ('dipping', 0.69)]","[('rips', 0.71), ('bikers', 0.7), ('climbs', 0.69), ('snaps', 0.68)]","[('padded', 0.75), ('hammers', 0.73), ('propellers', 0.73), ('fuze', 0.72)]"
12,porcupine,animal,"[('weddell', 0.84), ('tapir', 0.84), ('dugong', 0.83), ('hbk', 0.83)]","[('snuck', 0.75), ('smeared', 0.74), ('combed', 0.72), ('rooftops', 0.72)]","[('bikers', 0.78), ('piste', 0.77), ('rips', 0.75), ('gouged', 0.75)]","[('teflon', 0.74), ('bulbous', 0.73), ('flick', 0.73), ('wrists', 0.73)]"
13,sea_lion,animal,"[('keeper', 0.79), ('mighty', 0.79), ('lily', 0.78), ('serpent', 0.76)]","[('chasing', 0.68), ('rushes', 0.66), ('wolves', 0.64), ('tears', 0.64)]","[('rides', 0.59), ('wreath', 0.58), ('waist', 0.58), ('bullseye', 0.58)]","[('purple', 0.72), ('claw', 0.71), ('hook', 0.7), ('shark', 0.69)]"
14,malamute,animal,"[('keeper', 0.79), ('mighty', 0.79), ('lily', 0.78), ('serpent', 0.76)]","[('chasing', 0.68), ('rushes', 0.66), ('wolves', 0.64), ('tears', 0.64)]","[('rides', 0.59), ('wreath', 0.58), ('waist', 0.58), ('bullseye', 0.58)]","[('purple', 0.72), ('claw', 0.71), ('hook', 0.7), ('shark', 0.69)]"
15,badger,animal,"[('catahoula', 0.9), ('sheepdog', 0.88), ('cur', 0.88), ('mycerobas', 0.88)]","[('butts', 0.72), ('weasels', 0.71), ('stork', 0.69), ('sprouts', 0.69)]","[('grasshoppers', 0.68), ('daisies', 0.66), ('ermine', 0.66), ('herons', 0.65)]","[('padded', 0.75), ('opal', 0.74), ('scallop', 0.74), ('corkscrew', 0.74)]"
16,Great_Dane,animal,"[('hamish', 0.86), ('guittard', 0.85), ('chayefsky', 0.85), ('earle', 0.85)]","[('butts', 0.72), ('astaire', 0.7), ('rachael', 0.7), ('snuck', 0.7)]","[('arlen', 0.67), ('grandpa', 0.67), ('walley', 0.66), ('norville', 0.66)]","[('teflon', 0.72), ('padded', 0.72), ('paws', 0.71), ('truffles', 0.71)]"
17,Walker_hound,animal,"[('dog', 0.79), ('leopard', 0.79), ('sheepdog', 0.78), ('terrier', 0.78)]","[('sled', 0.66), ('cactus', 0.65), ('humpback', 0.64), ('deer', 0.64)]","[('raft', 0.59), ('blossoms', 0.58), ('hairless', 0.58), ('shrew', 0.58)]","[('striped', 0.72), ('crab', 0.68), ('hook', 0.68), ('claw', 0.67)]"
18,Welsh_springer_spaniel,animal,"[('mastiff', 0.94), ('sheepdog', 0.93), ('terrier', 0.92), ('pinscher', 0.91)]","[('catahoula', 0.69), ('weasels', 0.68), ('poplar', 0.68), ('sprouts', 0.67)]","[('coonhound', 0.66), ('wirehaired', 0.65), ('grrm', 0.64), ('foxhound', 0.64)]","[('wirehaired', 0.72), ('hook', 0.72), ('striped', 0.71), ('pinscher', 0.71)]"
19,whippet,animal,"[('mastiff', 0.94), ('sheepdog', 0.93), ('terrier', 0.92), ('pinscher', 0.91)]","[('catahoula', 0.69), ('weasels', 0.68), ('poplar', 0.68), ('sprouts', 0.67)]","[('coonhound', 0.66), ('wirehaired', 0.65), ('grrm', 0.64), ('foxhound', 0.64)]","[('wirehaired', 0.72), ('hook', 0.72), ('striped', 0.71), ('pinscher', 0.71)]"
20,Scottish_deerhound,animal,"[('mastiff', 0.94), ('sheepdog', 0.93), ('terrier', 0.92), ('pinscher', 0.91)]","[('catahoula', 0.69), ('weasels', 0.68), ('poplar', 0.68), ('sprouts', 0.67)]","[('coonhound', 0.66), ('wirehaired', 0.65), ('grrm', 0.64), ('foxhound', 0.64)]","[('wirehaired', 0.72), ('hook', 0.72), ('striped', 0.71), ('pinscher', 0.71)]"
21,killer_whale,animal,"[('dolphin', 0.85), ('beaked', 0.83), ('leopard', 0.81), ('zebra', 0.81)]","[('whales', 0.68), ('poplar', 0.67), ('humpback', 0.64), ('crab', 0.64)]","[('whales', 0.62), ('feeding', 0.57), ('cetaceans', 0.57), ('palms', 0.55)]","[('tail', 0.73), ('reddish', 0.7), ('crab', 0.7), ('cones', 0.7)]"
22,mink,animal,"[('outstretched', 0.89), ('mycerobas', 0.88), ('feresa', 0.88), ('scorpion', 0.86)]","[('butts', 0.75), ('weasels', 0.73), ('relaxes', 0.73), ('smeared', 0.73)]","[('bushes', 0.68), ('pumpkins', 0.67), ('grasshoppers', 0.67), ('butts', 0.66)]","[('teflon', 0.78), ('lengthwise', 0.77), ('padded', 0.76), ('nailing', 0.76)]"
23,African_elephant,animal,"[('giraffe', 0.71), ('orca', 0.7), ('tusks', 0.7), ('bird', 0.68)]","[('tusks', 0.63), ('deer', 0.6), ('whales', 0.6), ('walking', 0.59)]","[('feeding', 0.61), ('giraffe', 0.59), ('cages', 0.58), ('chicks', 0.57)]","[('elongated', 0.66), ('grass', 0.65), ('thick', 0.65), ('tail', 0.64)]"
24,Weimaraner,animal,"[('giraffe', 0.71), ('orca', 0.7), ('tusks', 0.7), ('bird', 0.68)]","[('tusks', 0.63), ('deer', 0.6), ('whales', 0.6), ('walking', 0.59)]","[('feeding', 0.61), ('giraffe', 0.59), ('cages', 0.58), ('chicks', 0.57)]","[('elongated', 0.66), ('grass', 0.65), ('thick', 0.65), ('tail', 0.64)]"
25,soft-coated_wheaten_terrier,animal,"[('spaniel', 0.92), ('mastiff', 0.89), ('bulldog', 0.86), ('sheepdog', 0.85)]","[('poplar', 0.7), ('oyster', 0.64), ('catahoula', 0.64), ('spotted', 0.63)]","[('foxhound', 0.61), ('poplar', 0.6), ('coonhound', 0.59), ('spaniel', 0.58)]","[('striped', 0.73), ('hook', 0.73), ('chili', 0.69), ('barb', 0.69)]"
26,Dandie_Dinmont,animal,"[('spaniel', 0.92), ('mastiff', 0.89), ('bulldog', 0.86), ('sheepdog', 0.85)]","[('poplar', 0.7), ('oyster', 0.64), ('catahoula', 0.64), ('spotted', 0.63)]","[('foxhound', 0.61), ('poplar', 0.6), ('coonhound', 0.59), ('spaniel', 0.58)]","[('striped', 0.73), ('hook', 0.73), ('chili', 0.69), ('barb', 0.69)]"
27,red_wolf,animal,"[('eyed', 0.81), ('lion', 0.76), ('pink', 0.75), ('rabbit', 0.74)]","[('chasing', 0.65), ('pink', 0.65), ('sled', 0.63), ('sneaks', 0.62)]","[('bullseye', 0.55), ('kicker', 0.54), ('tattooed', 0.54), ('blossoms', 0.54)]","[('purple', 0.72), ('shark', 0.72), ('pink', 0.72), ('hook', 0.72)]"
28,Old_English_sheepdog,animal,"[('mastiff', 0.94), ('pinscher', 0.93), ('spaniel', 0.93), ('catahoula', 0.93)]","[('weasels', 0.73), ('sprouts', 0.72), ('catahoula', 0.71), ('butts', 0.71)]","[('picardy', 0.66), ('ermine', 0.65), ('coonhound', 0.65), ('wirehaired', 0.65)]","[('striped', 0.74), ('opal', 0.73), ('wavy', 0.73), ('kimchi', 0.72)]"
29,jaguar,animal,"[('mazda', 0.73), ('volvo', 0.72), ('motorcycles', 0.72), ('toy', 0.71)]","[('leaping', 0.65), ('motorcycles', 0.64), ('truck', 0.64), ('lifts', 0.63)]","[('trunks', 0.63), ('falcons', 0.62), ('cages', 0.62), ('nonstop', 0.61)]","[('retractable', 0.71), ('drag', 0.69), ('truck', 0.68), ('hook', 0.68)]"
30,otterhound,animal,"[('mazda', 0.73), ('volvo', 0.72), ('motorcycles', 0.72), ('toy', 0.71)]","[('leaping', 0.65), ('motorcycles', 0.64), ('truck', 0.64), ('lifts', 0.63)]","[('trunks', 0.63), ('falcons', 0.62), ('cages', 0.62), ('nonstop', 0.61)]","[('retractable', 0.71), ('drag', 0.69), ('truck', 0.68), ('hook', 0.68)]"
31,bloodhound,animal,"[('kaoru', 0.84), ('ewan', 0.84), ('guittard', 0.83), ('fishburne', 0.83)]","[('butts', 0.69), ('jitterbug', 0.69), ('sneaks', 0.69), ('smeared', 0.69)]","[('nite', 0.74), ('norville', 0.72), ('grandpa', 0.72), ('oprah', 0.72)]","[('fuzz', 0.73), ('flick', 0.72), ('suede', 0.71), ('lengthwise', 0.71)]"
32,Airedale,animal,"[('kaoru', 0.84), ('ewan', 0.84), ('guittard', 0.83), ('fishburne', 0.83)]","[('butts', 0.69), ('jitterbug', 0.69), ('sneaks', 0.69), ('smeared', 0.69)]","[('nite', 0.74), ('norville', 0.72), ('grandpa', 0.72), ('oprah', 0.72)]","[('fuzz', 0.73), ('flick', 0.72), ('suede', 0.71), ('lengthwise', 0.71)]"
33,hyena,animal,"[('caiman', 0.86), ('minke', 0.85), ('bottlenose', 0.85), ('humpback', 0.85)]","[('poplar', 0.69), ('minke', 0.68), ('hopped', 0.67), ('odontoceti', 0.67)]","[('odontoceti', 0.7), ('bushes', 0.69), ('grasshoppers', 0.69), ('porpoises', 0.67)]","[('striped', 0.74), ('teflon', 0.72), ('curd', 0.72), ('watery', 0.71)]"
34,meerkat,animal,"[('caiman', 0.86), ('minke', 0.85), ('bottlenose', 0.85), ('humpback', 0.85)]","[('poplar', 0.69), ('minke', 0.68), ('hopped', 0.67), ('odontoceti', 0.67)]","[('odontoceti', 0.7), ('bushes', 0.69), ('grasshoppers', 0.69), ('porpoises', 0.67)]","[('striped', 0.74), ('teflon', 0.72), ('curd', 0.72), ('watery', 0.71)]"
35,giant_schnauzer,animal,"[('schweizer', 0.87), ('retriever', 0.85), ('obscurus', 0.84), ('cur', 0.84)]","[('butts', 0.71), ('taps', 0.7), ('weasels', 0.7), ('raceway', 0.69)]","[('luge', 0.65), ('foxhound', 0.65), ('sierras', 0.65), ('fillets', 0.64)]","[('opal', 0.75), ('wavy', 0.74), ('teflon', 0.74), ('corkscrew', 0.73)]"
36,titi,animal,"[('schweizer', 0.87), ('retriever', 0.85), ('obscurus', 0.84), ('cur', 0.84)]","[('butts', 0.71), ('taps', 0.7), ('weasels', 0.7), ('raceway', 0.69)]","[('luge', 0.65), ('foxhound', 0.65), ('sierras', 0.65), ('fillets', 0.64)]","[('opal', 0.75), ('wavy', 0.74), ('teflon', 0.74), ('corkscrew', 0.73)]"
37,three-toed_sloth,animal,"[('hyena', 0.83), ('griseus', 0.83), ('capuchin', 0.83), ('bufo', 0.83)]","[('weasels', 0.71), ('hyena', 0.71), ('odontoceti', 0.7), ('butts', 0.68)]","[('grasshoppers', 0.7), ('badgers', 0.68), ('grandorder', 0.67), ('weasels', 0.67)]","[('striped', 0.74), ('opal', 0.73), ('watery', 0.73), ('scallop', 0.72)]"
38,sorrel,animal,"[('hyena', 0.83), ('griseus', 0.83), ('capuchin', 0.83), ('bufo', 0.83)]","[('weasels', 0.71), ('hyena', 0.71), ('odontoceti', 0.7), ('butts', 0.68)]","[('grasshoppers', 0.7), ('badgers', 0.68), ('grandorder', 0.67), ('weasels', 0.67)]","[('striped', 0.74), ('opal', 0.73), ('watery', 0.73), ('scallop', 0.72)]"
39,black-footed_ferret,animal,"[('mycerobas', 0.85), ('dasyprocta', 0.85), ('thalassarche', 0.85), ('cebus', 0.84)]","[('snuck', 0.77), ('sneaks', 0.74), ('smeared', 0.73), ('facemask', 0.72)]","[('ermine', 0.7), ('bikers', 0.7), ('fillets', 0.7), ('kickers', 0.69)]","[('fluke', 0.75), ('teflon', 0.75), ('lengthwise', 0.74), ('brownish', 0.74)]"
40,dalmatian,animal,"[('veneto', 0.84), ('istria', 0.81), ('pomeranian', 0.81), ('kiang', 0.8)]","[('zuid', 0.68), ('woensel', 0.68), ('daugava', 0.68), ('dubrovnik', 0.67)]","[('pyrenees', 0.7), ('trentino', 0.67), ('liguria', 0.67), ('drenthe', 0.67)]","[('grunting', 0.67), ('laurentian', 0.67), ('pectoral', 0.67), ('chari', 0.67)]"
41,black-and-tan_coonhound,animal,"[('obscurus', 0.93), ('bolonka', 0.92), ('perro', 0.92), ('kum', 0.91)]","[('weasels', 0.75), ('butts', 0.75), ('smeared', 0.75), ('stork', 0.74)]","[('brownies', 0.66), ('luge', 0.66), ('foxhound', 0.66), ('ermine', 0.66)]","[('grunting', 0.75), ('opal', 0.74), ('scallop', 0.74), ('actuators', 0.73)]"
42,papillon,animal,"[('helton', 0.82), ('quale', 0.82), ('mui', 0.82), ('havenworks', 0.82)]","[('seeps', 0.71), ('flyers', 0.7), ('smeared', 0.7), ('taguatinga', 0.69)]","[('premiering', 0.72), ('thursdays', 0.72), ('birdwatching', 0.71), ('bett', 0.71)]","[('teflon', 0.73), ('micas', 0.72), ('knobs', 0.72), ('scallop', 0.72)]"
43,skunk,animal,"[('barracuda', 0.78), ('charmed', 0.78), ('pseudolus', 0.78), ('spanking', 0.77)]","[('whistles', 0.67), ('wakko', 0.66), ('sneaks', 0.66), ('stork', 0.65)]","[('strawberry', 0.67), ('nods', 0.66), ('yelling', 0.66), ('butts', 0.65)]","[('teflon', 0.76), ('padded', 0.73), ('sticky', 0.73), ('fluffy', 0.72)]"
44,Staffordshire_bullterrier,animal,"[('barracuda', 0.78), ('charmed', 0.78), ('pseudolus', 0.78), ('spanking', 0.77)]","[('whistles', 0.67), ('wakko', 0.66), ('sneaks', 0.66), ('stork', 0.65)]","[('strawberry', 0.67), ('nods', 0.66), ('yelling', 0.66), ('butts', 0.65)]","[('teflon', 0.76), ('padded', 0.73), ('sticky', 0.73), ('fluffy', 0.72)]"
45,Mexican_hairless,animal,"[('eared', 0.83), ('toothed', 0.81), ('grosbeak', 0.81), ('whitish', 0.8)]","[('chopped', 0.71), ('bubbled', 0.71), ('shaved', 0.69), ('butts', 0.69)]","[('bushes', 0.69), ('ermine', 0.69), ('grasshoppers', 0.68), ('palms', 0.67)]","[('striped', 0.73), ('padded', 0.72), ('cones', 0.71), ('shiny', 0.71)]"
46,Bouvier_des_Flandres,animal,"[('eared', 0.83), ('toothed', 0.81), ('grosbeak', 0.81), ('whitish', 0.8)]","[('chopped', 0.71), ('bubbled', 0.71), ('shaved', 0.69), ('butts', 0.69)]","[('bushes', 0.69), ('ermine', 0.69), ('grasshoppers', 0.68), ('palms', 0.67)]","[('striped', 0.73), ('padded', 0.72), ('cones', 0.71), ('shiny', 0.71)]"
47,weasel,animal,"[('rowboat', 0.78), ('bearnaise', 0.78), ('boo', 0.78), ('faggot', 0.77)]","[('leaping', 0.75), ('snuck', 0.73), ('bouncing', 0.71), ('sneaks', 0.71)]","[('thumbs', 0.69), ('chicks', 0.68), ('shuffles', 0.68), ('veer', 0.67)]","[('padded', 0.79), ('teflon', 0.75), ('bouncing', 0.74), ('buttocks', 0.74)]"
48,miniature_poodle,animal,"[('mustache', 0.86), ('paltrow', 0.82), ('jojo', 0.82), ('esque', 0.82)]","[('sneaks', 0.74), ('snuck', 0.72), ('pounding', 0.7), ('butts', 0.69)]","[('snuck', 0.69), ('nite', 0.68), ('beanstalk', 0.68), ('stomping', 0.67)]","[('padded', 0.74), ('teflon', 0.73), ('paws', 0.73), ('bulbous', 0.71)]"
49,Cardigan,animal,"[('corgi', 0.89), ('rinaldo', 0.88), ('keppel', 0.88), ('puri', 0.88)]","[('weasels', 0.72), ('kingsbridge', 0.71), ('dekalb', 0.7), ('buckhead', 0.7)]","[('perthshire', 0.7), ('bromwich', 0.7), ('nottinghamshire', 0.7), ('oldham', 0.7)]","[('grunting', 0.73), ('opal', 0.73), ('cellophane', 0.73), ('pumice', 0.72)]"
50,malinois,animal,"[('corgi', 0.89), ('rinaldo', 0.88), ('keppel', 0.88), ('puri', 0.88)]","[('weasels', 0.72), ('kingsbridge', 0.71), ('dekalb', 0.7), ('buckhead', 0.7)]","[('perthshire', 0.7), ('bromwich', 0.7), ('nottinghamshire', 0.7), ('oldham', 0.7)]","[('grunting', 0.73), ('opal', 0.73), ('cellophane', 0.73), ('pumice', 0.72)]"
51,bighorn,animal,"[('cormorants', 0.89), ('thermoplastic', 0.88), ('mycerobas', 0.88), ('murinus', 0.88)]","[('locust', 0.75), ('seeps', 0.74), ('knobs', 0.74), ('weasels', 0.74)]","[('snowboarding', 0.74), ('biking', 0.73), ('hiking', 0.72), ('bushes', 0.72)]","[('grunting', 0.77), ('scallop', 0.75), ('bulbous', 0.75), ('opal', 0.75)]"
52,fox_squirrel,animal,"[('saimiri', 0.86), ('rhinoceros', 0.85), ('eared', 0.85), ('grosbeak', 0.84)]","[('poplar', 0.72), ('butts', 0.7), ('dipped', 0.7), ('walnut', 0.7)]","[('bushes', 0.69), ('grasshoppers', 0.69), ('stalk', 0.67), ('palms', 0.67)]","[('sticky', 0.76), ('striped', 0.76), ('padded', 0.74), ('brownish', 0.74)]"
53,colobus,animal,"[('saimiri', 0.86), ('rhinoceros', 0.85), ('eared', 0.85), ('grosbeak', 0.84)]","[('poplar', 0.72), ('butts', 0.7), ('dipped', 0.7), ('walnut', 0.7)]","[('bushes', 0.69), ('grasshoppers', 0.69), ('stalk', 0.67), ('palms', 0.67)]","[('sticky', 0.76), ('striped', 0.76), ('padded', 0.74), ('brownish', 0.74)]"
54,tiger_cat,animal,"[('dog', 0.82), ('panda', 0.79), ('goat', 0.77), ('hamster', 0.77)]","[('bee', 0.68), ('chopped', 0.66), ('chicken', 0.65), ('sled', 0.65)]","[('cats', 0.57), ('piste', 0.57), ('chicks', 0.56), ('daisies', 0.56)]","[('hook', 0.74), ('sticky', 0.72), ('tail', 0.71), ('abalone', 0.71)]"
55,Lhasa,animal,"[('apso', 0.87), ('uighur', 0.84), ('malwa', 0.84), ('polski', 0.83)]","[('disembarked', 0.68), ('empties', 0.67), ('aurangabad', 0.67), ('woensel', 0.67)]","[('umbria', 0.66), ('caprivi', 0.66), ('kunduz', 0.66), ('liguria', 0.66)]","[('dipping', 0.69), ('grunting', 0.69), ('cushioned', 0.68), ('actuators', 0.68)]"
56,impala,animal,"[('apso', 0.87), ('uighur', 0.84), ('malwa', 0.84), ('polski', 0.83)]","[('disembarked', 0.68), ('empties', 0.67), ('aurangabad', 0.67), ('woensel', 0.67)]","[('umbria', 0.66), ('caprivi', 0.66), ('kunduz', 0.66), ('liguria', 0.66)]","[('dipping', 0.69), ('grunting', 0.69), ('cushioned', 0.68), ('actuators', 0.68)]"
57,coyote,animal,"[('panda', 0.76), ('goose', 0.74), ('humpback', 0.74), ('jackal', 0.72)]","[('sled', 0.67), ('rocky', 0.64), ('beverly', 0.63), ('poplar', 0.62)]","[('cages', 0.61), ('coyotes', 0.6), ('hopping', 0.6), ('hiking', 0.6)]","[('striped', 0.69), ('conical', 0.68), ('sticky', 0.68), ('grass', 0.68)]"
58,Yorkshire_terrier,animal,"[('spaniel', 0.92), ('mastiff', 0.89), ('bulldog', 0.86), ('sheepdog', 0.85)]","[('poplar', 0.7), ('oyster', 0.64), ('catahoula', 0.64), ('spotted', 0.63)]","[('foxhound', 0.61), ('poplar', 0.6), ('coonhound', 0.59), ('spaniel', 0.58)]","[('striped', 0.73), ('hook', 0.73), ('chili', 0.69), ('barb', 0.69)]"
59,Newfoundland,animal,"[('labrador', 0.89), ('maine', 0.81), ('saskatchewan', 0.81), ('quebec', 0.81)]","[('saskatchewan', 0.67), ('labrador', 0.67), ('bridgetown', 0.67), ('sacramento', 0.64)]","[('midland', 0.63), ('saskatchewan', 0.62), ('labrador', 0.61), ('perthshire', 0.6)]","[('ridge', 0.67), ('escarpment', 0.66), ('estuary', 0.65), ('meuse', 0.65)]"
60,brown_bear,animal,"[('whale', 0.73), ('hamster', 0.72), ('bird', 0.7), ('leopard', 0.69)]","[('whales', 0.62), ('graze', 0.6), ('feed', 0.59), ('deer', 0.58)]","[('bears', 0.59), ('waist', 0.55), ('cages', 0.55), ('chicks', 0.55)]","[('reddish', 0.69), ('claws', 0.68), ('striped', 0.66), ('hook', 0.65)]"
61,red_fox,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
62,Norwegian_elkhound,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
63,Rottweiler,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
64,hartebeest,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
65,Saluki,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
66,grey_fox,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
67,schipperke,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
68,Pekinese,animal,"[('cbs', 0.72), ('leno', 0.71), ('nbc', 0.68), ('uecker', 0.68)]","[('cbs', 0.63), ('tonight', 0.63), ('nbc', 0.61), ('airs', 0.61)]","[('airing', 0.58), ('cbs', 0.57), ('nightly', 0.56), ('airs', 0.56)]","[('hook', 0.63), ('cherry', 0.6), ('flashing', 0.6), ('chili', 0.59)]"
69,Brabancon_griffon,animal,"[('polski', 0.87), ('galgo', 0.87), ('apso', 0.86), ('mastiff', 0.86)]","[('picardy', 0.68), ('weasels', 0.67), ('sierras', 0.67), ('belfry', 0.67)]","[('luge', 0.68), ('llobregat', 0.68), ('eixample', 0.67), ('barri', 0.67)]","[('wirehaired', 0.72), ('opal', 0.7), ('jagged', 0.7), ('collie', 0.7)]"
